BOT NOVA,% AVANCE,,BOT FELI,% AVANCE,,BOT ROBOTINA,% AVANCE
Fase 0 – Levantamiento,100%,,Estructura Base,100%,,Estructura Base | Core/Framework,100%
Estructura Base,100%,,FELI,100%,,Estructura Base | Core/Framework,100%
Gestión Outlook,100%,,Pruebas,33%,,Gestión Usuarios | Active Directory,89%
"Gestión documental (Local): rutas, movimientos, plantillas y control de estado",100%,,Documentación,0%,,Cierre,0%
SAP VA01,100%,,Producción,0%,,,
SAP ZSD_NC_Valor,100%,,,,,% Total de Avance,58%
SAP VA02,100%,,% Total de Avance,47%,,,
SAP VF01,100%,,,,,Consumo Horas de Desarrollo,392
Grabación + Consolidado,100%,,Consumo Horas de Desarrollo,398,,,
Reporte ejecución + Insight,100%,,,,,,
Cierre,63%,,,,,,
,,,,,,,
% Total de Avance,97%,,,,,,
,,,,,,,
Consumo Horas de Desarrollo,452,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
